time,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,vel_0,vel_1,vel_2,vel_3,vel_4,vel_5,acc_0,acc_1,acc_2,acc_3,acc_4,acc_5,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5
0.000005871,0.000000052,0.005512925,0.005162335,0.047160119,0.000313337,0.000000000,-0.000000170,0.000004606,0.000002195,0.000004219,-0.000000000,-0.000000000,-0.000496217,0.015896760,0.007663757,0.015834309,0.000003410,-0.000102757,-0.000009555,-1.102605700,-1.032476783,-0.943204284,-0.006266744,-0.000000000
0.020065426,0.000182872,0.004878778,0.004607845,0.058445591,0.000467880,-0.000003044,0.013530652,-0.049732964,-0.000351842,0.640657008,0.005332376,0.001968936,189.515579224,-1169.977050781,2067.110351562,3380.920654297,-198.135406494,285.216186523,-0.042704239,-0.060202546,0.193450749,-0.526141644,-0.008141316,0.000276685
0.040181105,0.000182872,0.004878778,0.004607845,0.058445591,0.000467880,-0.000003044,0.013530652,-0.049732964,-0.000351842,0.640657008,0.005332376,0.001968936,189.515579224,-1169.977050781,2067.110351562,3380.920654297,-198.135406494,285.216186523,-0.042704239,-0.060202546,0.193450749,-0.526141644,-0.008141316,0.000276685
0.060243585,0.000136123,0.003417197,0.005824441,0.072338268,0.000525969,-0.000034820,-0.001438172,-0.063775010,0.037835922,0.737134218,0.006311188,-0.002978203,149.422195435,600.576599121,-614.767700195,-1703.520019531,59.996501923,144.145874023,-0.049475327,0.802345514,-0.400006831,-0.924521208,-0.006005687,0.000142180
0.080306427,0.000248975,0.003154838,0.006378866,0.079159692,0.000524432,0.000012786,0.000915939,-0.014202815,0.029415401,0.378929406,0.001088849,0.000093936,-227.679077148,560.903869629,-364.906677246,-2935.442871094,74.637207031,-118.401351929,-0.089257270,0.751486301,-0.476182252,-1.000165343,-0.005501670,-0.000179327
0.100409347,0.000231096,0.004098520,0.007013035,0.085870408,0.000595252,-0.000005273,-0.001015807,0.029812794,0.022113105,0.180765718,0.001735001,-0.000501612,34.591560364,90.308052063,75.366447449,-212.812042236,-21.213258743,17.450374603,-0.045822930,0.160489455,-0.489590168,-0.902777135,-0.006515226,0.000026269
0.120431387,0.000203094,0.005703438,0.008001844,0.090710036,0.000607475,0.000001674,-0.001094683,0.049640667,0.027767405,0.117187582,0.000302837,0.000132336,-7.493284225,240.429214478,26.645586014,-770.857116699,-6.672086716,5.422164440,-0.034188069,-0.293812096,-0.728427231,-0.959354699,-0.006318619,-0.000000506
0.140527424,0.000170134,0.006730689,0.008525667,0.092412353,0.000614919,0.000000263,-0.001748360,0.056811817,0.029153867,0.095637180,0.000336001,-0.000015809,-0.856713712,143.631820679,31.920040131,-369.050231934,-10.331534386,1.432319045,-0.025378363,-0.554871917,-0.842934191,-0.977336049,-0.006326365,0.000000081
0.160594208,0.000137123,0.007838768,0.009078251,0.093904942,0.000618125,0.000000486,-0.001898336,0.061411772,0.030603444,0.083467387,0.000206580,-0.000005084,-12.824830055,109.197044373,14.687300682,-232.908630371,-1.688547492,-8.944812775,-0.017327556,-0.815922022,-0.964224041,-0.999049544,-0.006281183,-0.000004167
0.180654137,0.000063131,0.010171571,0.010220012,0.096557379,0.000621934,0.000000133,-0.002116843,0.065289959,0.031881925,0.070327371,0.000081395,-0.000011927,-4.598590851,31.447229385,-32.262756348,-154.011657715,-0.092010707,-4.672289371,-0.000596716,-1.322245240,-1.206657767,-1.045852184,-0.006265509,-0.000001691
