Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.90374907748778E-05,-1.17155978242994E-06,0.0401493283700913,0,0,0,0.066822750433732,2.37877298337049E-05,-4.69195441128232E-09,-5.26909185423461E-08,3.41945671202783E-05,4.187830527744E-10,5.61602575377852E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/base_link.STL,,RS05零件-1;05上垫板2mm-1;01轴承间板2mm-1;05输出轴垫高打印件-1;平面推力滚针轴承1-1;轴承限位打印件-1;01输出垫片3mm-1,基坐标系,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
yuntai,0.000138385263578698,1.34191770742725E-05,0.00897570558828648,0,0,0,0.0350606384576612,2.87950444745209E-06,5.73864821764788E-20,2.55096105513473E-21,0.00028616638924974,2.45699813883867E-21,0.000286219077291257,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/yuntai.STL,1,1,1,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/yuntai.STL,,01轴承上板2mm-1;铝管10.20.450-1;小轴件-1;垫圈-3;F686ZZ-1;小轴件-2;F686ZZ-3,云台坐标系,云台轴,yuntai,revolute,0,0,0.0565,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
left1,0.0625813385469721,0.00741979647835644,0.00604795296736343,0,0,0,0.105541043988117,2.1324325369082E-05,8.08656112403125E-07,2.16081563697364E-06,5.51360559169799E-05,4.57042647800297E-07,4.44048948341639E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/left1.STL,1,1,1,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/left1.STL,,金属舵盘-4;大臂连接件-3;鑫辉科技60kg舵机-4;铝管10.15.130-2;舵机连接3mm-2;鑫辉科技60kg舵机-7,左一关节坐标系,左一关节轴,left1,revolute,-0.165,0.00625,0.01,1.5708,0,0,yuntai,0,0,-1,0,0,0,0,,,,,,,,
left2,0.178348318618332,-8.40191458073569E-10,-0.00507432686743642,0,0,0,0.0594508258557591,8.83718900466966E-06,6.57687562528797E-13,1.52335567782274E-07,4.91263271010238E-05,-3.74306623016931E-13,4.5031837913994E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/left2.STL,1,1,1,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/left2.STL,,金属舵盘-5;铝管10.10.180-2;末端舵机连接件-2;鑫辉科技60kg舵机-8,左二关节坐标系,左二关节轴,left2,revolute,0.14795,0.02,0.00935,0,0,-3.1416,left1,0,0,1,0,0,0,0,,,,,,,,
left3,0.0546460458217438,0.000352821835570338,-0.0255515985489677,0,0,0,0.0717898152307374,3.59837239679069E-05,4.94697293520157E-06,-5.26054001267703E-07,4.52279808959424E-05,-1.71037224809749E-07,3.11740032099198E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/left3.STL,1,1,1,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/left3.STL,,末端吸盘连接打印件.step-2;金属舵盘-6;摄像头简图-2,左三关节坐标系,左三关节轴,left3,revolute,0.213,0,0.0229,0,0,1.5708,left2,0,0,-1,0,0,0,0,,,,,,,,
left4,-0.0213546888236644,-3.88578058618805E-16,5.55111512312578E-17,0,0,0,0.098687873771068,1.55691033654856E-05,4.85544655468028E-22,9.37865643068236E-21,2.00162772748723E-05,-1.6940658945086E-21,2.00162772748723E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/left4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/left4.STL,,吸盘套组-1/吸盘ZP50HBN-1;吸盘套组-1/吸盘套装-1,左末端吸盘坐标系,左末端吸盘轴,left4,continuous,0.1058,0.0275,-0.026,1.5708,0,0,left3,1,0,0,,,,,,,,,,,,
right1,0.0148135552470644,0.00127455549747076,-0.0122774511004264,0,0,0,0.0611657666488922,1.50896428833051E-05,8.08482818875805E-07,2.21273720043912E-06,2.86270657726065E-05,4.57042647800669E-07,2.10652706092906E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/right1.STL,1,1,1,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/right1.STL,,大臂连接件-1;鑫辉科技60kg舵机-1;金属舵盘-1,右一关节坐标系,右一关节轴,right1,revolute,0.165,-0.00625,0.01,1.5708,0,3.1416,yuntai,0,0,-1,0,0,0,0,,,,,,,,
right2,0.178348318624939,1.31277283488274E-09,0.00507432710242653,0,0,0,0.059450825942565,8.83718890901745E-06,-8.75582403258549E-13,-1.52335729337376E-07,4.9126326746524E-05,-1.17657231771213E-12,4.50318381903904E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/right2.STL,1,1,1,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/right2.STL,,金属舵盘-2;铝管10.10.180-1;末端舵机连接件-1;鑫辉科技60kg舵机-3,右二关节坐标系,右二关节轴,right2,revolute,0.14795,0.02,0.00935,-3.1416,0,-3.1416,right1,0,0,-1,0,0,0,0,,,,,,,,
right3,0.0552233778617137,-0.000356549376091225,0.0258194078186913,0,0,0,0.0710392896004507,3.5964710018301E-05,-4.94697293520157E-06,5.26054001267606E-07,4.52089669463365E-05,-1.71037224810022E-07,3.1137418350727E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/right3.STL,1,1,1,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/right3.STL,,末端吸盘连接打印件.step-1;摄像头简图-1,右三关节坐标系,右三关节轴,right3,revolute,0.213,0,-0.0229,0,0,-1.5708,right2,0,0,1,0,0,0,0,,,,,,,,
right4,-0.0213546888236643,0,-2.77555756156289E-17,0,0,0,0.0986878737710681,1.55691033654856E-05,1.19446044078686E-21,1.69785175924192E-22,2.00162772748723E-05,0,2.00162772748724E-05,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/right4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://05双端机械臂.SLDASM/meshes/right4.STL,,吸盘套组-3/吸盘ZP50HBN-1;吸盘套组-3/吸盘套装-1,右末端吸盘坐标系,右末端吸盘轴,right4,continuous,0.1058,-0.0275,0.026,-1.5708,0,0,right3,1,0,0,,,,,,,,,,,,
